episode,total_reward,emergency_rejections,icu_utilisation
372,154.0,0,0.88
373,130.0,1,0.98
374,160.0,0,0.76
375,181.0,0,0.6
376,202.0,0,0.86
377,181.0,0,0.88
378,136.0,0,0.8
379,127.0,0,0.74
380,115.0,1,1.0
381,118.0,1,0.76
382,127.0,1,0.68
383,136.0,0,0.98
384,142.0,0,0.66
385,124.0,3,0.72
386,145.0,0,0.92
387,124.0,0,0.84
388,160.0,0,0.78
389,139.0,1,0.82
390,157.0,1,0.76
391,184.0,0,0.84
392,151.0,0,0.9
393,55.0,2,0.94
394,127.0,0,0.9
395,145.0,0,0.86
396,127.0,3,0.78
397,109.0,1,0.88
398,163.0,0,0.9
399,163.0,0,0.86
400,70.0,1,1.0
401,142.0,0,0.92
402,175.0,0,0.84
403,139.0,0,0.9
404,55.0,3,1.0
405,70.0,2,0.94
406,139.0,0,0.56
407,76.0,5,0.88
408,136.0,0,0.96
409,142.0,2,0.64
410,109.0,2,0.82
411,124.0,3,0.94
412,118.0,0,0.66
413,109.0,0,1.0
414,121.0,1,0.94
415,166.0,0,0.64
416,190.0,0,0.82
417,121.0,0,0.86
418,163.0,0,0.82
419,163.0,0,0.92
420,154.0,0,0.82
421,136.0,1,0.78
422,127.0,0,0.76
423,163.0,0,0.76
424,115.0,0,0.92
425,157.0,0,0.9
426,172.0,0,0.98
427,166.0,1,0.52
428,175.0,0,0.74
429,163.0,0,0.78
430,118.0,0,0.86
431,130.0,1,0.94
432,142.0,2,0.88
433,151.0,1,0.92
434,127.0,2,0.84
435,130.0,0,0.66
436,151.0,0,0.58
437,142.0,0,0.82
438,145.0,0,0.68
439,211.0,0,0.76
440,115.0,0,0.78
441,118.0,1,0.96
442,142.0,0,0.78
443,151.0,0,0.92
444,157.0,0,0.72
445,160.0,0,0.84
446,154.0,0,0.94
447,145.0,1,0.64
448,115.0,0,0.9
449,103.0,1,0.74
450,94.0,1,0.86
451,109.0,0,0.84
452,106.0,0,0.92
453,151.0,0,0.82
454,97.0,1,0.86
455,157.0,0,0.92
456,121.0,0,0.84
457,151.0,1,0.82
458,136.0,0,0.84
459,115.0,0,0.82
460,136.0,0,0.86
461,106.0,2,0.7
462,109.0,1,0.78
463,133.0,0,0.76
464,103.0,0,0.92
465,172.0,1,0.78
466,154.0,0,0.76
467,154.0,0,0.94
468,103.0,1,0.84
469,193.0,0,0.86
470,124.0,2,0.86
471,97.0,2,0.94
472,94.0,3,1.0
473,148.0,0,0.82
474,112.0,0,1.0
475,97.0,0,1.0
476,109.0,2,0.82
477,169.0,0,0.9
478,124.0,0,0.96
479,124.0,0,0.78
480,145.0,1,0.82
481,163.0,0,0.58
482,163.0,0,0.74
483,136.0,0,0.76
484,124.0,1,0.56
485,154.0,0,0.74
486,181.0,1,0.7
487,127.0,2,0.98
488,145.0,1,0.74
489,133.0,2,0.8
490,145.0,1,0.84
491,142.0,0,0.8
492,115.0,1,0.8
493,106.0,2,0.84
494,157.0,2,0.94
495,175.0,0,0.9
496,118.0,1,0.86
497,190.0,0,0.66
498,166.0,0,0.7
499,172.0,0,0.9
500,151.0,0,0.84
501,82.0,0,0.92
502,94.0,0,0.94
503,160.0,0,0.8
504,172.0,0,0.6
505,55.0,1,0.98
506,61.0,2,0.8
507,160.0,0,0.94
508,145.0,0,0.8
509,124.0,1,0.98
510,136.0,0,0.84
511,106.0,0,0.82
512,103.0,1,0.88
513,118.0,4,0.8
514,160.0,0,0.72
