episode,total_reward,emergency_rejections,icu_utilisation
418,-21.0,2,0.74
419,-123.0,8,0.66
420,-1.0,5,0.8
421,-102.0,8,0.86
422,-100.0,6,0.38
423,-55.0,2,0.6
424,-146.0,10,0.38
425,-24.0,1,0.66
426,-77.0,5,0.54
427,-50.0,5,0.38
428,-3.0,2,0.48
429,-92.0,3,0.48
430,-143.0,7,0.64
431,-59.0,3,0.6
432,-115.0,3,0.8
433,-64.0,4,0.66
434,-77.0,4,0.8
435,-82.0,2,0.7
436,-56.0,6,0.62
437,-52.0,4,0.66
438,-19.0,4,0.46
439,-57.0,4,0.36
440,-50.0,5,0.26
441,-109.0,8,0.84
442,-58.0,2,0.82
443,-89.0,5,0.56
444,-56.0,3,0.64
445,-100.0,5,0.74
446,-170.0,10,0.72
447,-89.0,7,0.52
448,-91.0,6,0.64
449,-103.0,7,0.72
450,-99.0,3,0.82
451,-63.0,3,0.58
452,-97.0,3,0.92
453,-141.0,1,0.66
454,-71.0,2,0.96
455,-78.0,5,0.64
456,-84.0,5,0.7
457,-99.0,5,0.74
458,-97.0,3,0.66
459,-31.0,5,0.7
460,-114.0,6,0.78
461,-82.0,2,0.62
462,-94.0,4,0.66
463,-70.0,5,0.54
464,-124.0,6,0.86
465,14.0,1,0.7
466,17.0,2,0.44
467,-78.0,4,0.8
468,-84.0,3,0.76
469,-25.0,4,0.64
470,-24.0,7,0.6
471,-85.0,5,0.88
472,-135.0,10,0.62
473,-51.0,3,0.68
474,-79.0,5,0.64
475,-146.0,6,0.7
476,-69.0,6,0.64
477,5.0,1,0.82
478,-127.0,7,0.7
479,-67.0,4,0.78
480,-64.0,5,0.7
481,-55.0,3,0.52
482,-32.0,4,0.68
483,-89.0,1,0.74
484,-104.0,5,0.52
485,-114.0,9,0.64
486,-15.0,6,0.76
487,-82.0,6,0.84
488,-33.0,4,0.68
489,-57.0,4,0.62
490,-87.0,4,0.6
491,-53.0,4,0.62
492,-64.0,3,0.54
493,-116.0,6,0.78
494,-113.0,10,0.54
